,index,timestamp,coursename,degree,heard_hs_counselor,heard_hs_teacher,heard_it_website,heard_ccm_admissions,heard_employer,heard_work_dev,heard_nj_work_dev,first_choice,interest_level,race,gender
257,257,2020/09/24 5:26:35 PM EST,CMP 130 Intro to IT,"Information Technology, Applied Associate of Science",No,No,No,No,No,No,No,Electronical Engineering ,,Hispanic or Latino,Man
258,258,2020/09/24 5:34:53 PM EST,CMP 130 Intro to IT,Information Security Certificate of Achievement,No,No,No,No,No,No,No,"no, engineering science",,Hispanic or Latino,Man
259,259,2020/09/24 5:52:54 PM EST,CMP 131 Fundamentals of Programming (Python),"Information Technology, Applied Associate of Science",No,No,Yes,Yes,No,No,No,First Choice,,Black/African American,Woman
260,260,2020/09/24 6:38:53 PM EST,CMP 120 Foundations of Information Security,"Information Technology, Applied Associate of Science",No,No,No,No,No,No,No,First Choice,,Hispanic or Latino,Man
261,261,2020/09/24 6:52:46 PM EST,CMP 128 Computer Science I,"CIS Game Development Option, Applied Associate of Science",No,No,No,No,No,No,No,First Choice,,White/Caucasian,Woman
262,262,2020/09/24 7:43:43 PM EST,CMP 128 Computer Science I,"CIS Game Development Option, Applied Associate of Science",No,No,No,No,No,No,No,First Choice,,White/Caucasian,Man
263,263,2020/09/24 9:44:52 PM EST,CMP 130 Intro to IT,"Information Technology, Applied Associate of Science",Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,First Choice,,Choose not to reply,Man
264,264,2020/09/24 10:15:13 PM EST,CMP 120 Foundations of Information Security,Information Security Certificate of Achievement,No,No,No,No,No,No,No,First Choice,,Black/African American,Man
265,265,2020/09/24 10:17:30 PM EST,CMP 130 Intro to IT,"Computer Science, Associate of Science",No,No,Yes,Yes,No,No,No,First Choice,,White/Caucasian,Man
266,266,2020/09/24 10:34:04 PM EST,CMP 131 Fundamentals of Programming (Python),"Computer Science, Associate of Science",No,No,No,No,No,No,No,First Choice,,White/Caucasian,Man
267,267,2020/09/24 11:44:26 PM EST,CMP 128 Computer Science I,ShareTime CSIP Program,No,No,No,No,No,No,No,First Choice,,Hispanic or Latino,Man
268,268,2020/09/25 1:01:40 AM EST,CMP 130 Intro to IT,"Information Technology, Applied Associate of Science",No,No,Yes,Yes,No,No,No,First Choice,,Asian,Man
269,269,2020/09/25 6:17:57 AM EST,CMP 120 Foundations of Information Security,"Information Technology, Applied Associate of Science",No,No,No,No,No,No,No,First Choice,,Hispanic or Latino,Man
270,270,2020/09/25 8:15:18 AM EST,CMP 128 Computer Science I,"Computer Science, Associate of Science",Yes,Yes,No,No,No,No,No,Biology,,White/Caucasian,Man
271,271,2020/09/25 9:15:53 AM EST,CMP 128 Computer Science I,"Computer Science, Associate of Science",No,No,Yes,Yes,No,No,No,First Choice,,White/Caucasian,Man
272,272,2020/09/25 9:16:06 AM EST,CMP 128 Computer Science I,"Computer Science, Associate of Science",Yes,No,Yes,Yes,No,No,No,First Choice,,White/Caucasian,Man
273,273,2020/09/25 10:18:08 AM EST,CMP 120 Foundations of Information Security,"Computer Science, Associate of Science",Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,First Choice,,White/Caucasian,Prefer not to say
274,274,2020/09/25 10:43:01 AM EST,CMP 128 Computer Science I,Business Administration ,,,,,,,,,3.0,Asian,Man
275,275,2020/09/25 12:17:50 PM EST,CMP 128 Computer Science I,Business Administration,,,,,,,,,5.0,Multi-Racial,Woman
276,276,2020/09/25 6:58:19 PM EST,CMP 120 Foundations of Information Security,"Information Technology, Applied Associate of Science",No,No,No,No,No,No,No,First Choice,,Black/African American,Man
277,277,2020/09/25 9:48:46 PM EST,CMP 128 Computer Science I,"Computer Science, Associate of Science",No,No,Yes,No,No,No,No,Exercise science,,White/Caucasian,Man
278,278,2020/09/26 4:30:27 PM EST,CMP 120 Foundations of Information Security,"Computer Science, Associate of Science",Yes,No,No,Yes,No,No,No,First Choice,,Asian,Man
279,279,2020/09/26 6:22:05 PM EST,CMP 128 Computer Science I,Mechanical/Electrical Engineer,,,,,,,,,3.0,White/Caucasian,Man
280,280,2020/09/26 7:16:44 PM EST,CMP 131 Fundamentals of Programming (Python),"Computer Science, Associate of Science",No,No,Yes,No,No,No,No,Hospitality & Culinary Major,,Asian,Woman
281,281,2020/09/27 10:10:27 AM EST,CMP 128 Computer Science I,Undecided,,,,,,,,,4.0,Multi-Racial,Man
282,282,2020/09/27 11:39:12 PM EST,CMP 130 Intro to IT,"Computer Science, Associate of Science",No,No,No,No,No,No,No,Physics,,Asian,Man
283,283,2020/09/28 10:55:41 AM EST,CMP 128 Computer Science I,"Information Technology, Applied Associate of Science",Don't recall,Don't recall,Yes,Yes,Don't recall,Don't recall,Don't recall,First Choice,,Asian,Man
284,284,2020/09/28 11:15:36 AM EST,CMP 239 Internet & Web Page Design,"Computer Science, Associate of Science",No,No,Yes,No,No,No,No,Industrial Engineering at a pervious college followed by Mathematics at CCM,,Asian,Man
285,285,2020/09/29 4:38:45 AM EST,CMP 131 Fundamentals of Programming (Python),"Computer Science, Associate of Science",No,No,No,Don't recall,No,No,No,First Choice,,White/Caucasian,Man
286,286,2020/09/30 2:35:28 PM EST,CMP 131 Fundamentals of Programming (Python),"Information Technology, Applied Associate of Science",Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,First Choice,,White/Caucasian,Man
287,287,2020/09/30 6:08:29 PM EST,CMP 120 Foundations of Information Security,"Computer Science, Associate of Science",Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,First Choice,,Choose not to reply,Non-binary
288,288,2020/10/01 12:30:53 AM EST,CMP 128 Computer Science I,Business Administration,,,,,,,,,4.0,Multi-Racial,Man
289,289,2020/10/03 10:09:30 AM EST,CMP 128 Computer Science I,"Computer Science, Associate of Science",No,No,No,No,No,No,No,First Choice,,Asian,Man
290,290,2020/10/05 5:34:38 PM EST,CMP 120 Foundations of Information Security,"Computer Science, Associate of Science",Yes,No,Yes,No,No,No,No,First Choice,,Hispanic or Latino,Man
291,291,2020/10/08 7:38:17 PM EST,CMP 131 Fundamentals of Programming (Python),ShareTime CSIP Program,No,No,Yes,Yes,No,No,No,First Choice,,Asian,Woman
292,292,2020/10/10 7:00:32 PM EST,CMP 130 Intro to IT,Challenger Program,Yes,No,Don't recall,No,No,No,No,First Choice,,Choose not to reply,Man
293,293,2020/10/13 5:07:17 PM EST,CMP 130 Intro to IT,"Computer Science, Associate of Science",No,No,No,No,No,No,No,First Choice,,White/Caucasian,Man
294,294,2020/10/14 10:08:02 AM EST,CMP 131 Fundamentals of Programming (Python),"Information Technology, Applied Associate of Science",Yes,Yes,No,No,No,No,No,First Choice,,Black/African American,Man
295,295,2020/10/14 6:18:25 PM EST,CMP 131 Fundamentals of Programming (Python),"Computer Science, Associate of Science",Don't recall,Don't recall,Yes,Yes,No,No,No,First Choice,,Choose not to reply,Prefer not to say
296,296,2020/10/22 6:59:06 PM EST,CMP 128 Computer Science I,Undecided,,,,,,,,,2.0,Asian,Woman
297,297,2020/10/26 1:27:44 PM EST,CMP 128 Computer Science I,"Computer Science, Associate of Science",Yes,Yes,Don't recall,No,Don't recall,Don't recall,Don't recall,First Choice,,White/Caucasian,Man
298,0,2021/10/03 9:49:52 PM EST,CMP 128 Computer Science I,Non Degree seeking,,,,,,,,,5.0,Asian,Woman
299,1,2021/10/04 6:31:09 AM EST,CMP 128 Computer Science I,Electronic engineering ,,,,,,,,,5.0,Hispanic or Latino,Man
300,2,2021/10/04 7:57:04 AM EST,CMP 128 Computer Science I,Computer Science,No,Yes,No,No,No,No,No,First Choice,,White/Caucasian,Man
301,3,2021/10/04 9:20:16 AM EST,CMP 128 Computer Science I,Computer Science,No,No,No,No,No,No,No,First Choice,,Choose not to reply,Man
302,4,2021/10/04 11:26:08 AM EST,CMP 128 Computer Science I,Mechanical Engineering,,,,,,,,,4.0,White/Caucasian,Man
303,5,2021/10/04 12:20:25 PM EST,CMP 128 Computer Science I,Computer Science,No,Yes,No,No,No,No,No,First Choice,,White/Caucasian,Man
304,6,2021/10/04 12:20:41 PM EST,CMP 128 Computer Science I,Electronic Engineering,,,,,,,,,5.0,White/Caucasian,Man
305,7,2021/10/04 12:20:47 PM EST,CMP 128 Computer Science I,Undecided,,,,,,,,,3.0,Asian,Woman
306,8,2021/10/04 12:20:55 PM EST,CMP 128 Computer Science I,Mathematics and Science,,,,,,,,,4.0,White/Caucasian,Man
307,9,2021/10/04 12:21:08 PM EST,CMP 128 Computer Science I,Computer Science,No,No,Yes,No,No,No,No,First Choice,,Hispanic or Latino,Man
308,10,2021/10/04 12:21:09 PM EST,CMP 128 Computer Science I,Computer Science,No,No,Yes,Yes,No,No,No,Engineering,,White/Caucasian,Man
309,11,2021/10/04 12:21:28 PM EST,CMP 128 Computer Science I,Non Degree seeking,,,,,,,,,5.0,Asian,Woman
310,12,2021/10/04 12:21:37 PM EST,CMP 128 Computer Science I,mechanical engineering,,,,,,,,,2.0,White/Caucasian,Man
311,13,2021/10/04 12:23:01 PM EST,CMP 128 Computer Science I,Non Degree seeking,,,,,,,,,4.0,White/Caucasian,Woman
312,14,2021/10/04 12:23:02 PM EST,CMP 128 Computer Science I,Computer Science,No,No,Yes,Yes,Yes,Yes,Yes,First Choice,,White/Caucasian,Man
313,15,2021/10/04 12:23:19 PM EST,CMP 128 Computer Science I,libral arts,,,,,,,,,3.0,White/Caucasian,Woman
314,16,2021/10/04 12:23:20 PM EST,CMP 128 Computer Science I,Computer Science,Don't recall,Don't recall,No,No,No,No,No,First Choice,,White/Caucasian,Man
315,17,2021/10/04 12:24:12 PM EST,CMP 128 Computer Science I,Non Degree seeking,,,,,,,,,2.0,White/Caucasian,Woman
316,18,2021/10/04 12:24:36 PM EST,CMP 128 Computer Science I,CIS Game Development Option,No,No,No,Yes,No,No,No,First Choice,,White/Caucasian,Man
317,19,2021/10/04 12:25:09 PM EST,CMP 128 Computer Science I,mechanical engineering ,,,,,,,,,3.0,White/Caucasian,Man
318,20,2021/10/04 12:26:05 PM EST,CMP 128 Computer Science I,Computer Science,No,Yes,No,No,No,No,No,First Choice,,Hispanic or Latino,Man
319,21,2021/10/04 12:27:43 PM EST,CMP 128 Computer Science I,Mechanical Engineering ,,,,,,,,,4.0,Asian,Man
320,22,2021/10/04 12:30:10 PM EST,CMP 128 Computer Science I,Computer Science,No,No,No,No,No,No,No,First Choice,,Asian,Man
321,23,2021/10/04 12:55:57 PM EST,CMP 128 Computer Science I,Computer Science,Yes,Yes,No,No,No,No,No,First Choice,,Hispanic or Latino,Man
322,24,2021/10/04 2:37:29 PM EST,CMP 128 Computer Science I,Computer Science,No,No,No,Yes,No,No,No,Engineering,,White/Caucasian,Man
323,25,2021/10/04 2:38:18 PM EST,CMP 128 Computer Science I,Computer Science,No,No,Yes,Yes,No,No,No,First Choice,,White/Caucasian,Man
324,26,2021/10/04 2:38:38 PM EST,CMP 128 Computer Science I,Computer Science,No,No,Yes,Yes,No,No,No,First Choice,,White/Caucasian,Man
325,27,2021/10/04 2:38:50 PM EST,CMP 128 Computer Science I,Administrative Business,,,,,,,,,5.0,White/Caucasian,Man
326,28,2021/10/04 2:39:40 PM EST,CMP 128 Computer Science I,Computer Science,No,Yes,No,No,No,No,No,Not a comp sci major. I'm a nursing major,,Hispanic or Latino,Man
327,29,2021/10/04 2:40:02 PM EST,CMP 128 Computer Science I,Mechanical Engineering,,,,,,,,,5.0,Black/African American,Man
328,30,2021/10/04 2:40:12 PM EST,CMP 128 Computer Science I,Computer Science,No,No,Yes,Yes,No,No,No,Engineering,,White/Caucasian,Man
329,31,2021/10/04 2:40:30 PM EST,CMP 128 Computer Science I,Computer Science,No,No,Yes,No,No,No,No,First Choice,,Black/African American,Woman
330,32,2021/10/04 2:40:32 PM EST,CMP 128 Computer Science I,Computer Science,No,No,Yes,No,No,No,No,First Choice,,Hispanic or Latino,Man
331,33,2021/10/04 2:40:46 PM EST,CMP 128 Computer Science I,Computer Science,No,No,No,No,No,No,No,Engineering,,Hispanic or Latino,Man
332,34,2021/10/04 2:41:12 PM EST,CMP 128 Computer Science I,CIS Game Development Option,Yes,Yes,Yes,Yes,No,No,No,First Choice,,Hispanic or Latino,Man
333,35,2021/10/04 2:41:19 PM EST,CMP 128 Computer Science I,Computer Science,No,No,No,No,No,No,No,First Choice,,Asian,Man
334,36,2021/10/04 2:42:44 PM EST,CMP 128 Computer Science I,Computer Science,No,No,No,No,No,No,No,First Choice,,White/Caucasian,Man
335,37,2021/10/04 2:42:46 PM EST,CMP 128 Computer Science I,Computer Science,No,No,No,No,No,No,No,Engineering,,White/Caucasian,Man
336,38,2021/10/04 2:44:37 PM EST,CMP 128 Computer Science I,electronic engineering ,,,,,,,,,5.0,Hispanic or Latino,Man
337,39,2021/10/04 7:22:20 PM EST,CMP 128 Computer Science I,"Business Admin, might change to CompSci :)",,,,,,,,,5.0,White/Caucasian,Man
338,40,2021/10/04 7:49:10 PM EST,CMP 128 Computer Science I,Computer Science,No,No,No,No,No,No,No,First Choice,,White/Caucasian,Man
339,41,2021/10/04 7:52:09 PM EST,CMP 128 Computer Science I,Computer Science,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,First Choice,,Choose not to reply,Prefer not to say
340,42,2021/10/04 8:26:51 PM EST,CMP 128 Computer Science I,Information Technology,Yes,No,Yes,Yes,Yes,Yes,Yes,Engineering,,Asian,Man
341,43,2021/10/04 10:41:25 PM EST,CMP 130 Intro to IT,Computer Science,No,No,Yes,Yes,No,No,No,First Choice,,Asian,Man
342,44,2021/10/05 8:27:25 AM EST,CMP 128 Computer Science I,Electrical Engineering,,,,,,,,,3.0,Multi-Racial,Man
343,45,2021/10/05 10:44:24 AM EST,CMP 130 Intro to IT,Information Technology,No,No,Yes,No,No,No,No,Personal Fitness,,White/Caucasian,Man
344,46,2021/10/05 12:32:09 PM EST,CMP 131 Fundamentals of Programming (Python),Computer Science,No,No,No,No,No,No,No,First Choice,,White/Caucasian,Man
345,47,2021/10/05 1:17:59 PM EST,CMP 130 Intro to IT,Information Technology,No,No,Yes,No,No,No,No,First Choice,,White/Caucasian,Man
346,48,2021/10/05 1:31:23 PM EST,CMP 128 Computer Science I,Computer Science,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Engineering,,Hispanic or Latino,Man
347,49,2021/10/05 2:15:49 PM EST,CMP 128 Computer Science I,Web Development Certificate of Achievement,No,No,Yes,Yes,No,No,No,RADIOGRAPHY-STILL ENROLLED,,Hispanic or Latino,Man
348,50,2021/10/05 2:37:36 PM EST,CMP 131 Fundamentals of Programming (Python),Computer Science,No,No,No,Yes,No,No,No,First Choice,,Asian,Man
349,51,2021/10/05 2:38:49 PM EST,CMP 131 Fundamentals of Programming (Python),Computer Science,No,No,No,Yes,No,No,No,First Choice,,White/Caucasian,Man
350,52,2021/10/05 2:39:34 PM EST,CMP 131 Fundamentals of Programming (Python),Information Technology,No,No,Yes,No,No,No,No,First Choice,,White/Caucasian,Man
351,53,2021/10/05 2:39:42 PM EST,CMP 131 Fundamentals of Programming (Python),Information Technology,Don't recall,Don't recall,Yes,Don't recall,Don't recall,Don't recall,Don't recall,Engineering,,Hispanic or Latino,Man
352,54,2021/10/05 2:40:26 PM EST,CMP 131 Fundamentals of Programming (Python),Information Technology,No,No,No,No,No,No,No,First Choice,,White/Caucasian,Man
353,55,2021/10/05 2:43:03 PM EST,CMP 131 Fundamentals of Programming (Python),Computer Science,Yes,Don't recall,Don't recall,Don't recall,No,No,No,First Choice,,Asian,Man
354,56,2021/10/05 2:45:13 PM EST,CMP 131 Fundamentals of Programming (Python),Information Technology,Yes,No,Yes,Yes,No,No,No,First Choice,,White/Caucasian,Man
355,57,2021/10/05 2:45:33 PM EST,CMP 131 Fundamentals of Programming (Python),Information Technology,No,No,No,No,No,No,No,First Choice,,White/Caucasian,Man
356,58,2021/10/05 2:48:18 PM EST,CMP 131 Fundamentals of Programming (Python),Information Technology,Yes,Yes,No,No,No,No,No,First Choice,,American Indian/Native American/Alaska Native,Man
357,59,2021/10/05 3:38:50 PM EST,CMP 128 Computer Science I,Business,,,,,,,,,2.0,White/Caucasian,Man
358,60,2021/10/05 4:47:22 PM EST,CMP 131 Fundamentals of Programming (Python),Data Analytics Certificate of Achievement,No,No,No,No,No,No,No,First Choice,,White/Caucasian,Man
359,61,2021/10/05 4:50:43 PM EST,CMP 131 Fundamentals of Programming (Python),Data Analytics Certificate of Achievement,No,No,No,No,No,No,No,First Choice,,White/Caucasian,Man
360,62,2021/10/05 4:50:58 PM EST,CMP 130 Intro to IT,Information Technology,Yes,Yes,Yes,Yes,No,Yes,Yes,Science,,White/Caucasian,Man
361,63,2021/10/05 4:56:54 PM EST,CMP 130 Intro to IT,Information Technology,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,First Choice,,White/Caucasian,Man
362,64,2021/10/05 5:46:35 PM EST,CMP 128 Computer Science I,Computer Science,No,No,Yes,Yes,No,No,No,First Choice,,Black/African American,Man
363,65,2021/10/05 6:43:02 PM EST,CMP 130 Intro to IT,Information Technology,No,No,No,No,No,No,No,First Choice,,White/Caucasian,Man
364,66,2021/10/05 7:59:51 PM EST,CMP 130 Intro to IT,Information Technology,No,No,No,No,No,No,No,Science,,Hispanic or Latino,Man
365,67,2021/10/05 11:33:32 PM EST,CMP 128 Computer Science I,Computer Science,No,No,No,No,No,No,No,First Choice,,White/Caucasian,Man
366,68,2021/10/06 9:50:42 AM EST,CMP 131 Fundamentals of Programming (Python),Computer Science,Yes,Don't recall,No,No,No,No,No,First Choice,,Asian,Man
367,69,2021/10/06 11:17:44 AM EST,CMP 128 Computer Science I,Information Technology,No,No,No,Yes,No,Yes,No,First Choice,,Multi-Racial,Man
368,70,2021/10/06 4:49:43 PM EST,CMP 131 Fundamentals of Programming (Python),Mathematics and Science,,,,,,,,,5.0,White/Caucasian,Woman
369,71,2021/10/06 4:56:35 PM EST,CMP 128 Computer Science I,Business ,,,,,,,,,4.0,White/Caucasian,Man
370,72,2021/10/06 6:46:48 PM EST,CMP 128 Computer Science I,Computer Science,No,No,Yes,Yes,No,No,No,First Choice,,White/Caucasian,Man
371,73,2021/10/07 11:24:05 AM EST,CMP 128 Computer Science I,"Technical Studies, Applied Associate of Science",No,No,Yes,No,No,No,No,First Choice,,White/Caucasian,Man
372,74,2021/10/07 12:47:18 PM EST,CMP 128 Computer Science I,Undecided,,,,,,,,,3.0,Multi-Racial,Woman
373,75,2021/10/07 12:55:25 PM EST,CMP 131 Fundamentals of Programming (Python),Information Technology,Don't recall,Don't recall,Yes,Don't recall,No,No,No,First Choice,,White/Caucasian,Man
374,76,2021/10/07 2:09:27 PM EST,CMP 128 Computer Science I,Computer Science,No,No,Don't recall,Yes,No,No,No,First Choice,,Hispanic or Latino,Man
375,77,2021/10/07 4:26:43 PM EST,CMP 128 Computer Science I,Computer Science,No,No,No,No,No,No,No,LIberal Arts,,Multi-Racial,Man
376,78,2021/10/07 5:00:23 PM EST,CMP 128 Computer Science I,Radiography ,,,,,,,,,5.0,Hispanic or Latino,Man
377,79,2021/10/07 5:37:56 PM EST,CMP 239 Internet & Web Page Design,Information Technology,No,No,Yes,No,No,No,No,Business,,White/Caucasian,Man
378,80,2021/10/07 6:21:48 PM EST,CMP 128 Computer Science I,Computer Science,No,Yes,No,No,No,No,No,First Choice,,White/Caucasian,Man
379,81,2021/10/07 6:30:34 PM EST,CMP 128 Computer Science I,Computer Science,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Business or science,,Hispanic or Latino,Man
380,82,2021/10/07 7:07:49 PM EST,CMP 239 Internet & Web Page Design,Digital Media Technology,Yes,No,Yes,Yes,No,No,No,First Choice,,White/Caucasian,Woman
381,83,2021/10/07 7:13:14 PM EST,CMP 239 Internet & Web Page Design,Information Technology,No,No,Yes,No,No,No,No,Graphic Design,,Hispanic or Latino,Man
382,84,2021/10/07 7:52:11 PM EST,CMP 239 Internet & Web Page Design,Information Technology,No,No,No,No,No,No,No,criminal justice ,,White/Caucasian,Man
383,85,2021/10/07 8:25:10 PM EST,CMP 239 Internet & Web Page Design,Digital Media Technology,No,No,No,No,No,No,No,"second degree, first degree was engineering",,Hispanic or Latino,Man
384,86,2021/10/07 8:25:18 PM EST,CMP 239 Internet & Web Page Design,Information Technology,Yes,Yes,Yes,Yes,Yes,No,No,Science,,White/Caucasian,Man
385,87,2021/10/07 8:25:51 PM EST,CMP 239 Internet & Web Page Design,Web Development Certificate of Achievement,No,No,No,No,No,No,No,Music,,White/Caucasian,Man
386,88,2021/10/07 8:26:01 PM EST,CMP 239 Internet & Web Page Design,Information Technology,No,No,No,No,No,No,No,Design: Architecture,,White/Caucasian,Man
387,89,2021/10/07 8:26:54 PM EST,CMP 239 Internet & Web Page Design,Computer Science,No,No,Don't recall,Don't recall,No,No,No,Information Technologies,,White/Caucasian,Man
388,90,2021/10/07 8:27:55 PM EST,CMP 239 Internet & Web Page Design,Information Technology,No,No,No,No,No,No,No,First Choice,,White/Caucasian,Man
389,91,2021/10/07 8:31:30 PM EST,CMP 239 Internet & Web Page Design,Graphic Design ,,,,,,,,,5.0,Hispanic or Latino,Woman
390,92,2021/10/08 8:44:43 AM EST,CMP 128 Computer Science I,Computer Science,Don't recall,Yes,Yes,No,No,No,No,First Choice,,White/Caucasian,Man
391,93,2021/10/08 8:45:25 AM EST,CMP 128 Computer Science I,Computer Science,No,No,No,No,No,No,No,First Choice,,Black/African American,Man
392,94,2021/10/08 8:46:05 AM EST,CMP 128 Computer Science I,Mathematics,,,,,,,,,3.0,Asian,Man
393,95,2021/10/08 8:47:31 AM EST,CMP 128 Computer Science I,Computer Science,No,No,No,No,No,No,No,First Choice,,Asian,Man
